rank,gateway_count,window_count,activation_count,mean_completion_ratio,fr,eta_cap,eta_0,hotspot_coverage,hotspot_max_gap,max_cross_gap,cross_active_fraction
1,17,11,22,1.0,1.0,0.0,0.0,0.8888322941326047,257.83799999999974,798.613,0.9815135879629631
2,18,11,22,1.0,1.0,0.0,0.0,0.8865145410813842,257.83799999999974,798.613,0.9815135879629631
3,17,11,22,1.0,1.0,0.0,0.0,0.8819687201177561,257.83799999999974,798.613,0.9815135879629631
4,17,11,22,1.0,1.0,0.0,0.0,0.8788779927011221,385.9449999999997,798.613,0.9684130092592593
5,18,11,22,1.0,1.0,0.0,0.0,0.8589703783024915,300.0,798.613,0.9815135879629631
