algorithm,emergency_set,emergency_total,emergency_success,cr_emg,cr_reg,regular_success_rate,preemptions,affected_regular,elapsed_seconds
ga,smoke,8,7,0.875,0.9866666666666667,0.9861111111111112,5,4,23.157981199998176
ga,adversarial,12,11,0.9166666666666666,0.9533333333333334,0.9583333333333334,11,9,53.71326489999774
ga,stress,20,16,0.8,0.82,0.8194444444444444,20,20,73.85627750000276
task_value,smoke,8,7,0.875,1.0,1.0,5,4,21.97051680000004
task_value,adversarial,12,11,0.9166666666666666,0.9666666666666667,0.9722222222222222,10,8,44.76421400000254
task_value,stress,20,16,0.8,0.86,0.8611111111111112,20,19,64.81130199999825
link_quality,smoke,8,7,0.875,0.5866666666666667,0.5277777777777778,2,2,16.93358029999945
link_quality,adversarial,12,9,0.75,0.5266666666666666,0.4861111111111111,8,7,23.265313399999286
link_quality,stress,20,12,0.6,0.5266666666666666,0.4861111111111111,11,10,35.13499719999891
