algorithm,taskset,task_count,fr,mean_completion_ratio,eta_cap,hotspot_coverage,window_count,gateway_count,activation_count,runtime_seconds
ga,light,60,1.0,1.0,0.011375843445844077,0.8456341153083321,9,17,18,4620.2357301
task_value,light,60,1.0,1.0,0.06516959741319976,0.8897911675466119,11,22,22,9.502924799999164
link_quality,light,60,0.704,0.7881709647417958,0.5586352891448918,0.5470635137496039,12,15,24,1.3187292000002344
ga,normal,72,1.0,1.0,0.005865498850549789,0.8742561429295008,12,24,24,4077.9365549
task_value,normal,72,1.0,1.0,0.018327747800167604,0.8144932601205858,12,23,24,15.31278729999758
link_quality,normal,72,0.5866666666666667,0.7298670663083519,0.5683216498673526,0.5470635137496039,12,15,24,1.4786182999996527
ga,heavy,84,1.0,1.0,0.003914922875763473,0.8417596386253491,14,27,28,11621.813922099998
task_value,heavy,84,1.0,1.0,0.011019350738322616,0.8098126256101061,16,30,32,35.265974000001734
link_quality,heavy,84,0.5028571428571429,0.6657422186888668,0.6179912235860037,0.5470635137496039,12,15,24,1.4874052000013762
