segment_index,start,end,duration,active_gateway_count,active_region_count,covered_region_count,active_weight,covered_weight,normalized_coverage
257,17280.0,17340.0,60.0,1,1,0,0.2,0.0,0.0
258,17340.0,17400.0,60.0,1,1,0,0.2,0.0,0.0
259,17400.0,17460.0,60.0,1,1,0,0.2,0.0,0.0
260,17460.0,17520.0,60.0,1,0,0,0.0,0.0,
261,17520.0,17580.0,60.0,1,0,0,0.0,0.0,
262,17580.0,17640.0,60.0,1,0,0,0.0,0.0,
263,17640.0,17700.0,60.0,1,1,1,0.25,0.25,1.0
264,17700.0,17760.0,60.0,1,1,1,0.25,0.25,1.0
265,17760.0,17820.0,60.0,1,1,1,0.25,0.25,1.0
266,17820.0,17880.0,60.0,1,1,1,0.25,0.25,1.0
267,17880.0,17940.0,60.0,1,0,0,0.0,0.0,
268,17940.0,18000.0,60.0,1,0,0,0.0,0.0,
269,18000.0,18060.0,60.0,1,0,0,0.0,0.0,
270,18060.0,18120.0,60.0,1,0,0,0.0,0.0,
271,18120.0,18180.0,60.0,1,0,0,0.0,0.0,
272,18180.0,18240.0,60.0,1,0,0,0.0,0.0,
273,18240.0,18300.0,60.0,1,0,0,0.0,0.0,
274,18300.0,18360.0,60.0,1,1,1,0.25,0.25,1.0
275,18360.0,18420.0,60.0,1,1,1,0.25,0.25,1.0
276,18420.0,18540.0,120.0,1,1,1,0.25,0.25,1.0
277,18540.0,18600.0,60.0,1,0,0,0.0,0.0,
278,18600.0,18660.0,60.0,1,0,0,0.0,0.0,
279,18660.0,18780.0,120.0,1,0,0,0.0,0.0,
280,18780.0,18840.0,60.0,1,0,0,0.0,0.0,
281,18840.0,18900.0,60.0,1,0,0,0.0,0.0,
282,18900.0,18941.858,41.858000000000175,1,0,0,0.0,0.0,
283,18941.858,18960.0,18.141999999999825,2,0,0,0.0,0.0,
284,18960.0,19020.0,60.0,2,0,0,0.0,0.0,
285,19020.0,19080.0,60.0,2,0,0,0.0,0.0,
286,19080.0,19140.0,60.0,2,0,0,0.0,0.0,
287,19140.0,19200.0,60.0,2,0,0,0.0,0.0,
288,19200.0,19260.0,60.0,2,0,0,0.0,0.0,
289,19260.0,19320.0,60.0,2,0,0,0.0,0.0,
290,19320.0,19380.0,60.0,2,0,0,0.0,0.0,
291,19380.0,19440.0,60.0,2,0,0,0.0,0.0,
292,19440.0,19500.0,60.0,2,1,1,0.2,0.2,1.0
293,19500.0,19560.0,60.0,2,1,1,0.2,0.2,1.0
294,19560.0,19620.0,60.0,2,1,1,0.2,0.2,1.0
295,19620.0,19680.0,60.0,2,0,0,0.0,0.0,
296,19680.0,19800.0,120.0,2,0,0,0.0,0.0,
297,19800.0,19845.424,45.42399999999907,2,0,0,0.0,0.0,
298,19845.424,19860.0,14.576000000000931,1,0,0,0.0,0.0,
299,19860.0,19920.0,60.0,1,0,0,0.0,0.0,
300,19920.0,20040.0,120.0,1,0,0,0.0,0.0,
301,20040.0,20100.0,60.0,1,1,1,0.2,0.2,1.0
302,20100.0,20160.0,60.0,1,1,1,0.2,0.2,1.0
303,20160.0,20220.0,60.0,1,1,1,0.2,0.2,1.0
304,20220.0,20280.0,60.0,1,1,1,0.2,0.2,1.0
305,20280.0,20340.0,60.0,1,0,0,0.0,0.0,
306,20340.0,20400.0,60.0,1,0,0,0.0,0.0,
307,20400.0,20460.0,60.0,1,0,0,0.0,0.0,
308,20460.0,20520.0,60.0,1,0,0,0.0,0.0,
309,20520.0,20580.0,60.0,1,0,0,0.0,0.0,
310,20580.0,20640.0,60.0,1,0,0,0.0,0.0,
311,20640.0,20700.0,60.0,1,1,1,0.2,0.2,1.0
312,20700.0,20760.0,60.0,1,1,1,0.2,0.2,1.0
313,20760.0,20820.0,60.0,1,1,1,0.2,0.2,1.0
314,20820.0,20880.0,60.0,1,1,1,0.2,0.2,1.0
315,20880.0,20940.0,60.0,1,0,0,0.0,0.0,
316,20940.0,21060.0,120.0,1,0,0,0.0,0.0,
317,21060.0,21120.0,60.0,1,0,0,0.0,0.0,
318,21120.0,21180.0,60.0,1,0,0,0.0,0.0,
319,21180.0,21300.0,120.0,1,0,0,0.0,0.0,
320,21300.0,21360.0,60.0,1,1,1,0.2,0.2,1.0
321,21360.0,21420.0,60.0,1,1,1,0.2,0.2,1.0
322,21420.0,21480.0,60.0,1,1,1,0.2,0.2,1.0
323,21480.0,21540.0,60.0,1,1,1,0.2,0.2,1.0
324,21540.0,21600.0,60.0,1,0,0,0.0,0.0,
325,21600.0,21660.0,60.0,1,0,0,0.0,0.0,
326,21660.0,21720.0,60.0,1,0,0,0.0,0.0,
327,21720.0,21780.0,60.0,1,1,1,0.35,0.35,1.0
328,21780.0,21840.0,60.0,1,1,1,0.35,0.35,1.0
329,21840.0,21900.0,60.0,1,0,0,0.0,0.0,
330,21900.0,21938.624,38.623999999999796,1,1,1,0.2,0.2,1.0
331,21938.624,21960.0,21.376000000000204,2,1,1,0.2,0.2,1.0
332,21960.0,22020.0,60.0,2,1,1,0.2,0.2,1.0
333,22020.0,22080.0,60.0,2,1,1,0.2,0.2,1.0
334,22080.0,22140.0,60.0,2,1,1,0.2,0.2,1.0
335,22140.0,22200.0,60.0,2,0,0,0.0,0.0,
336,22200.0,22320.0,120.0,2,0,0,0.0,0.0,
337,22320.0,22380.0,60.0,2,1,1,0.35,0.35,1.0
338,22380.0,22440.0,60.0,2,1,1,0.35,0.35,1.0
339,22440.0,22560.0,120.0,2,1,1,0.35,0.35,1.0
340,22560.0,22620.0,60.0,2,1,1,0.2,0.2,1.0
341,22620.0,22680.0,60.0,2,1,1,0.2,0.2,1.0
342,22680.0,22740.0,60.0,2,1,1,0.2,0.2,1.0
343,22740.0,22800.0,60.0,2,0,0,0.0,0.0,
344,22800.0,22860.0,60.0,2,0,0,0.0,0.0,
345,22860.0,22920.0,60.0,2,1,1,0.2,0.2,1.0
346,22920.0,22980.0,60.0,2,2,2,0.55,0.55,1.0
347,22980.0,23040.0,60.0,2,1,1,0.35,0.35,1.0
348,23040.0,23100.0,60.0,2,1,1,0.35,0.35,1.0
349,23100.0,23160.0,60.0,2,1,1,0.35,0.35,1.0
350,23160.0,23220.0,60.0,2,0,0,0.0,0.0,
351,23220.0,23280.0,60.0,2,1,1,0.2,0.2,1.0
352,23280.0,23340.0,60.0,2,1,1,0.2,0.2,1.0
353,23340.0,23400.0,60.0,2,0,0,0.0,0.0,
354,23400.0,23460.0,60.0,2,0,0,0.0,0.0,
355,23460.0,23580.0,120.0,2,1,1,0.2,0.2,1.0
356,23580.0,23640.0,60.0,2,2,2,0.55,0.55,1.0
357,23640.0,23700.0,60.0,2,1,1,0.35,0.35,1.0
358,23700.0,23820.0,120.0,2,1,1,0.35,0.35,1.0
359,23820.0,23880.0,60.0,2,0,0,0.0,0.0,
360,23880.0,23940.0,60.0,2,1,1,0.25,0.25,1.0
361,23940.0,24000.0,60.0,2,1,1,0.25,0.25,1.0
