rank,gateway_count,window_count,activation_count,activation_time,mean_completion_ratio,fr,eta_cap,eta_0,hotspot_coverage,hotspot_max_gap,max_cross_gap,cross_active_fraction
1,17,9,18,133504.388,1.0,1.0,0.011375843445844077,0.011375843445844077,0.8456341153083321,420.0,430.1899999999987,0.9803144907407408
2,18,9,18,133506.208,1.0,1.0,0.011434349484261013,0.011434349484261013,0.8269060036384647,420.0,430.1899999999987,0.9803144907407408
3,17,9,18,133121.026,1.0,1.0,0.011500277809067507,0.011500277809067507,0.8475327849727801,420.0,430.1899999999987,0.9803144907407408
4,17,10,20,141000.606,1.0,1.0,0.0,0.0,0.8758523040482342,360.0,239.402,0.9902725925925926
5,18,10,20,144925.896,1.0,1.0,0.0,0.0,0.8456341153083321,420.0,311.3040000000001,0.9830664814814816
