rank,gateway_count,window_count,activation_count,mean_completion_ratio,fr,eta_cap,eta_0,hotspot_coverage,hotspot_max_gap,max_cross_gap,cross_active_fraction
1,18,10,20,1.0,1.0,0.006208198574615708,0.006208198574615708,0.8208572567926338,300.0,1432.198,0.9668472685185185
2,18,10,20,1.0,1.0,0.006229792259010415,0.006229792259010415,0.8213110402977515,300.0,1432.198,0.9668472685185185
3,17,10,20,1.0,1.0,0.006256930565405954,0.006256930565405954,0.8381015473158183,300.0,1432.198,0.9668472685185185
4,19,10,20,1.0,1.0,0.006275904542905747,0.006275904542905747,0.8020925925925927,300.0,1432.198,0.9668472685185185
5,17,10,20,1.0,1.0,0.00628288828861694,0.00628288828861694,0.8331880166551106,300.0,1432.198,0.9668472685185185
