segment_index,start,end,duration,active_gateway_count,active_region_count,covered_region_count,active_weight,covered_weight,normalized_coverage
462,30120.0,30180.0,60.0,2,0,0,0.0,0.0,
463,30180.0,30240.0,60.0,2,1,1,0.2,0.2,1.0
464,30240.0,30300.0,60.0,2,1,1,0.2,0.2,1.0
465,30300.0,30360.0,60.0,2,1,1,0.2,0.2,1.0
466,30360.0,30420.0,60.0,2,0,0,0.0,0.0,
467,30420.0,30480.0,60.0,2,1,1,0.35,0.35,1.0
468,30480.0,30540.0,60.0,2,1,1,0.35,0.35,1.0
469,30540.0,30600.0,60.0,2,1,1,0.35,0.35,1.0
470,30600.0,30660.0,60.0,2,0,0,0.0,0.0,
471,30660.0,30720.0,60.0,2,0,0,0.0,0.0,
472,30720.0,30840.0,120.0,2,0,0,0.0,0.0,
473,30840.0,30900.0,60.0,2,1,1,0.2,0.2,1.0
474,30900.0,30960.0,60.0,2,1,1,0.2,0.2,1.0
475,30960.0,31020.0,60.0,2,1,1,0.2,0.2,1.0
476,31020.0,31140.0,120.0,2,1,1,0.35,0.35,1.0
477,31140.0,31200.0,60.0,2,1,1,0.35,0.35,1.0
478,31200.0,31260.0,60.0,2,1,1,0.35,0.35,1.0
479,31260.0,31320.0,60.0,2,0,0,0.0,0.0,
480,31320.0,31380.0,60.0,2,0,0,0.0,0.0,
481,31380.0,31440.0,60.0,2,1,1,0.2,0.2,1.0
482,31440.0,31500.0,60.0,2,1,1,0.2,0.2,1.0
483,31500.0,31560.0,60.0,2,1,1,0.2,0.2,1.0
484,31560.0,31620.0,60.0,2,2,2,0.4,0.4,1.0
485,31620.0,31680.0,60.0,2,3,3,0.75,0.75,1.0
486,31680.0,31740.0,60.0,2,2,2,0.55,0.55,1.0
487,31740.0,31800.0,60.0,2,1,1,0.35,0.35,1.0
488,31800.0,31860.0,60.0,2,1,1,0.35,0.35,1.0
489,31860.0,31920.0,60.0,2,0,0,0.0,0.0,
490,31920.0,31980.0,60.0,2,0,0,0.0,0.0,
491,31980.0,32100.0,120.0,2,0,0,0.0,0.0,
492,32100.0,32160.0,60.0,2,1,1,0.2,0.2,1.0
493,32160.0,32220.0,60.0,2,2,2,0.4,0.4,1.0
494,32220.0,32340.0,120.0,2,2,2,0.4,0.4,1.0
495,32340.0,32400.0,60.0,2,2,2,0.55,0.55,1.0
496,32400.0,32460.0,60.0,2,1,1,0.35,0.35,1.0
497,32460.0,32520.0,60.0,2,1,1,0.35,0.35,1.0
498,32520.0,32580.0,60.0,2,0,0,0.0,0.0,
499,32580.0,32640.0,60.0,2,0,0,0.0,0.0,
500,32640.0,32700.0,60.0,2,1,1,0.25,0.25,1.0
501,32700.0,32760.0,60.0,2,2,2,0.45,0.45,1.0
502,32760.0,32820.0,60.0,2,2,2,0.4,0.4,1.0
503,32820.0,32874.668,54.667999999997846,2,2,2,0.4,0.4,1.0
504,32874.668,32880.0,5.332000000002154,1,2,2,0.4,0.4,1.0
505,32880.0,32940.0,60.0,1,2,2,0.55,0.55,1.0
506,32940.0,33000.0,60.0,1,2,2,0.55,0.55,1.0
507,33000.0,33060.0,60.0,1,2,2,0.55,0.55,1.0
508,33060.0,33120.0,60.0,1,1,1,0.35,0.35,1.0
509,33120.0,33180.0,60.0,1,0,0,0.0,0.0,
510,33180.0,33240.0,60.0,1,1,1,0.25,0.25,1.0
511,33240.0,33360.0,120.0,1,1,1,0.25,0.25,1.0
512,33360.0,33420.0,60.0,1,3,3,0.65,0.65,1.0
513,33420.0,33480.0,60.0,1,2,2,0.4,0.4,1.0
514,33480.0,33600.0,120.0,1,1,1,0.2,0.2,1.0
515,33600.0,33660.0,60.0,1,2,2,0.55,0.55,1.0
516,33660.0,33720.0,60.0,1,1,1,0.35,0.35,1.0
517,33720.0,33780.0,60.0,1,0,0,0.0,0.0,
518,33780.0,33840.0,60.0,1,0,0,0.0,0.0,
519,33840.0,33900.0,60.0,1,1,1,0.25,0.25,1.0
520,33900.0,33960.0,60.0,1,1,1,0.25,0.25,1.0
521,33960.0,34020.0,60.0,1,1,1,0.25,0.25,1.0
522,34020.0,34080.0,60.0,1,2,2,0.45,0.45,1.0
523,34080.0,34140.0,60.0,1,1,1,0.2,0.2,1.0
524,34140.0,34161.892,21.891999999999825,1,1,1,0.2,0.2,1.0
525,34161.892,34200.0,38.108000000000175,2,1,1,0.2,0.2,1.0
526,34200.0,34260.0,60.0,2,2,2,0.55,0.55,1.0
527,34260.0,34320.0,60.0,2,1,1,0.35,0.35,1.0
528,34320.0,34380.0,60.0,2,0,0,0.0,0.0,
529,34380.0,34440.0,60.0,2,0,0,0.0,0.0,
530,34440.0,34500.0,60.0,2,1,1,0.25,0.25,1.0
531,34500.0,34620.0,120.0,2,1,1,0.25,0.25,1.0
532,34620.0,34680.0,60.0,2,1,1,0.25,0.25,1.0
533,34680.0,34740.0,60.0,2,1,1,0.2,0.2,1.0
534,34740.0,34860.0,120.0,2,1,1,0.2,0.2,1.0
535,34860.0,34920.0,60.0,2,0,0,0.0,0.0,
536,34920.0,34980.0,60.0,2,0,0,0.0,0.0,
537,34980.0,35040.0,60.0,2,0,0,0.0,0.0,
538,35040.0,35100.0,60.0,2,0,0,0.0,0.0,
539,35100.0,35160.0,60.0,2,1,1,0.25,0.25,1.0
540,35160.0,35220.0,60.0,2,1,1,0.25,0.25,1.0
541,35220.0,35280.0,60.0,2,1,1,0.25,0.25,1.0
542,35280.0,35340.0,60.0,2,0,0,0.0,0.0,
543,35340.0,35400.0,60.0,2,1,1,0.2,0.2,1.0
544,35400.0,35410.457,10.457000000002154,2,1,1,0.2,0.2,1.0
545,35410.457,35460.0,49.542999999997846,1,1,0,0.2,0.0,0.0
546,35460.0,35520.0,60.0,1,0,0,0.0,0.0,
547,35520.0,35580.0,60.0,1,0,0,0.0,0.0,
548,35580.0,35640.0,60.0,1,0,0,0.0,0.0,
549,35640.0,35700.0,60.0,1,0,0,0.0,0.0,
550,35700.0,35760.0,60.0,1,0,0,0.0,0.0,
551,35760.0,35880.0,120.0,1,1,0,0.25,0.0,0.0
552,35880.0,35940.0,60.0,1,0,0,0.0,0.0,
553,35940.0,36000.0,60.0,1,0,0,0.0,0.0,
554,36000.0,36120.0,120.0,1,0,0,0.0,0.0,
555,36120.0,36180.0,60.0,1,0,0,0.0,0.0,
556,36180.0,36240.0,60.0,1,0,0,0.0,0.0,
557,36240.0,36300.0,60.0,1,0,0,0.0,0.0,
558,36300.0,36360.0,60.0,1,0,0,0.0,0.0,
559,36360.0,36420.0,60.0,1,0,0,0.0,0.0,
560,36420.0,36480.0,60.0,1,0,0,0.0,0.0,
561,36480.0,36540.0,60.0,1,0,0,0.0,0.0,
562,36540.0,36600.0,60.0,1,0,0,0.0,0.0,
563,36600.0,36660.0,60.0,1,0,0,0.0,0.0,
564,36660.0,36720.0,60.0,1,0,0,0.0,0.0,
565,36720.0,36780.0,60.0,1,0,0,0.0,0.0,
566,36780.0,36840.0,60.0,1,0,0,0.0,0.0,
567,36840.0,36900.0,60.0,1,0,0,0.0,0.0,
568,36900.0,36960.0,60.0,1,0,0,0.0,0.0,
569,36960.0,37020.0,60.0,1,0,0,0.0,0.0,
570,37020.0,37140.0,120.0,1,0,0,0.0,0.0,
571,37140.0,37200.0,60.0,1,0,0,0.0,0.0,
572,37200.0,37260.0,60.0,1,0,0,0.0,0.0,
573,37260.0,37380.0,120.0,1,0,0,0.0,0.0,
574,37380.0,37440.0,60.0,1,0,0,0.0,0.0,
575,37440.0,37500.0,60.0,1,0,0,0.0,0.0,
576,37500.0,37560.0,60.0,1,0,0,0.0,0.0,
