rank,gateway_count,window_count,activation_count,mean_completion_ratio,fr,eta_cap,eta_0,hotspot_coverage,hotspot_max_gap,max_cross_gap,cross_active_fraction
1,20,12,24,1.0,1.0,0.004149945037008938,0.004021700016526148,0.7834108957795005,420.0,411.02700000000004,0.9875297222222222
2,22,12,24,1.0,1.0,0.004158360462019131,0.0040298553811395936,0.7848333189778927,420.0,411.02700000000004,0.9875297222222222
3,19,12,24,1.0,1.0,0.004182177563935508,0.0040529364673507345,0.7782429371231697,420.0,411.02700000000004,0.9875297222222222
4,21,12,24,1.0,1.0,0.0041838078895987205,0.004054516411347152,0.7796653603215619,420.0,411.02700000000004,0.9875297222222222
5,19,12,24,1.0,1.0,0.0041857540123701785,0.004056402393429405,0.7810364341085272,420.0,411.02700000000004,0.9875297222222222
