rank,gateway_count,window_count,activation_count,mean_completion_ratio,fr,eta_cap,eta_0,hotspot_coverage,hotspot_max_gap,max_cross_gap,cross_active_fraction
1,21,12,24,1.0,1.0,0.005713268697918533,0.005297055655385194,1.0,0.0,1432.198,0.9537466898148149
2,22,12,24,1.0,1.0,0.005741279280599752,0.005323025660166562,1.0,0.0,1432.198,0.9537466898148149
3,22,12,24,1.0,1.0,0.00576020229647246,0.005340570129636727,1.0,0.0,1432.198,0.9537466898148149
4,22,12,24,1.0,1.0,0.005762281895606161,0.005342498229457432,1.0,0.0,1432.198,0.9537466898148149
5,23,12,24,1.0,1.0,0.00590576886590108,0.0054755321383565,1.0,0.0,1432.198,0.9537466898148149
