rank,gateway_count,window_count,activation_count,activation_time,mean_completion_ratio,fr,eta_cap,eta_0,hotspot_coverage,hotspot_max_gap,max_cross_gap,cross_active_fraction
1,27,14,28,206230.552,1.0,1.0,0.003914922875763473,0.003914651049345702,0.8417596386253491,385.9449999999997,1016.1339999999982,0.9419356250000002
2,28,15,30,213992.822,1.0,1.0,0.0010982047053761303,0.0010979373204130353,0.863607400101531,385.9449999999997,798.613,0.9654572453703703
3,27,15,30,213299.548,1.0,1.0,0.0011035512154205446,0.0011032825287179981,0.8613172632357373,385.9449999999997,798.613,0.9654572453703703
4,27,15,30,214168.408,1.0,1.0,0.00110942597571997,0.0011091558586624468,0.863607400101531,385.9449999999997,798.613,0.9654572453703703
5,26,15,30,214120.72400000002,1.0,1.0,0.001114914415896412,0.0011146429625430534,0.8693402263734199,385.9449999999997,798.613,0.9654572453703703
