segment_index,start,end,duration,active_gateway_count,active_region_count,covered_region_count,active_weight,covered_weight,normalized_coverage
161,10740.0,10800.0,60.0,2,1,1,0.2,0.2,1.0
162,10800.0,10860.0,60.0,2,1,1,0.2,0.2,1.0
163,10860.0,10920.0,60.0,2,0,0,0.0,0.0,
164,10920.0,10980.0,60.0,2,0,0,0.0,0.0,
165,10980.0,11040.0,60.0,2,0,0,0.0,0.0,
166,11040.0,11100.0,60.0,2,0,0,0.0,0.0,
167,11100.0,11160.0,60.0,2,0,0,0.0,0.0,
168,11160.0,11280.0,120.0,2,0,0,0.0,0.0,
169,11280.0,11340.0,60.0,2,0,0,0.0,0.0,
170,11340.0,11400.0,60.0,2,1,1,0.2,0.2,1.0
171,11400.0,11520.0,120.0,2,1,1,0.2,0.2,1.0
172,11520.0,11580.0,60.0,2,0,0,0.0,0.0,
173,11580.0,11640.0,60.0,2,0,0,0.0,0.0,
174,11640.0,11760.0,120.0,2,0,0,0.0,0.0,
175,11760.0,11820.0,60.0,2,0,0,0.0,0.0,
176,11820.0,11880.0,60.0,2,0,0,0.0,0.0,
177,11880.0,12000.0,120.0,2,0,0,0.0,0.0,
178,12000.0,12060.0,60.0,2,1,1,0.2,0.2,1.0
179,12060.0,12120.0,60.0,2,1,1,0.2,0.2,1.0
180,12120.0,12180.0,60.0,2,1,1,0.2,0.2,1.0
181,12180.0,12240.0,60.0,2,0,0,0.0,0.0,
182,12240.0,12300.0,60.0,2,0,0,0.0,0.0,
183,12300.0,12360.0,60.0,2,0,0,0.0,0.0,
184,12360.0,12420.0,60.0,2,0,0,0.0,0.0,
185,12420.0,12480.0,60.0,2,0,0,0.0,0.0,
186,12480.0,12540.0,60.0,2,0,0,0.0,0.0,
187,12540.0,12593.853,53.852999999999156,2,1,1,0.2,0.2,1.0
188,12593.853,12600.0,6.147000000000844,1,1,1,0.2,0.2,1.0
189,12600.0,12660.0,60.0,1,1,1,0.2,0.2,1.0
190,12660.0,12780.0,120.0,1,1,1,0.2,0.2,1.0
191,12780.0,12840.0,60.0,1,0,0,0.0,0.0,
192,12840.0,12900.0,60.0,1,0,0,0.0,0.0,
193,12900.0,13020.0,120.0,1,0,0,0.0,0.0,
194,13020.0,13080.0,60.0,1,1,1,0.35,0.35,1.0
195,13080.0,13081.965,1.9650000000001455,1,1,1,0.35,0.35,1.0
196,13081.965,13140.0,58.034999999999854,2,1,1,0.35,0.35,1.0
197,13140.0,13260.0,120.0,2,0,0,0.0,0.0,
198,13260.0,13320.0,60.0,2,1,1,0.2,0.2,1.0
199,13320.0,13380.0,60.0,2,1,1,0.2,0.2,1.0
200,13380.0,13440.0,60.0,2,1,1,0.2,0.2,1.0
201,13440.0,13500.0,60.0,2,0,0,0.0,0.0,
202,13500.0,13560.0,60.0,2,0,0,0.0,0.0,
203,13560.0,13620.0,60.0,2,1,1,0.2,0.2,1.0
204,13620.0,13680.0,60.0,2,2,2,0.55,0.55,1.0
205,13680.0,13740.0,60.0,2,1,1,0.35,0.35,1.0
206,13740.0,13800.0,60.0,2,1,1,0.35,0.35,1.0
207,13800.0,13860.0,60.0,2,1,1,0.2,0.2,1.0
208,13860.0,13861.18,1.180000000000291,2,1,1,0.2,0.2,1.0
209,13861.18,13920.0,58.81999999999971,1,1,1,0.2,0.2,1.0
210,13920.0,14040.0,120.0,1,1,1,0.2,0.2,1.0
211,14040.0,14100.0,60.0,1,0,0,0.0,0.0,
212,14100.0,14160.0,60.0,1,1,1,0.2,0.2,1.0
213,14160.0,14280.0,120.0,1,1,1,0.2,0.2,1.0
214,14280.0,14340.0,60.0,1,2,1,0.55,0.2,0.36363636363636365
215,14340.0,14347.165,7.165000000000873,1,1,0,0.35,0.0,0.0
216,14347.165,14400.0,52.83499999999913,2,1,0,0.35,0.0,0.0
217,14400.0,14520.0,120.0,2,1,1,0.35,0.35,1.0
218,14520.0,14580.0,60.0,2,1,1,0.2,0.2,1.0
219,14580.0,14640.0,60.0,2,1,1,0.2,0.2,1.0
220,14640.0,14700.0,60.0,2,0,0,0.0,0.0,
221,14700.0,14760.0,60.0,2,0,0,0.0,0.0,
222,14760.0,14820.0,60.0,2,1,1,0.2,0.2,1.0
223,14820.0,14868.561,48.560999999999694,2,2,2,0.55,0.55,1.0
224,14868.561,14880.0,11.439000000000306,3,2,2,0.55,0.55,1.0
225,14880.0,14940.0,60.0,3,2,2,0.55,0.55,1.0
226,14940.0,15000.0,60.0,3,2,2,0.55,0.55,1.0
227,15000.0,15060.0,60.0,3,1,1,0.35,0.35,1.0
228,15060.0,15120.0,60.0,3,0,0,0.0,0.0,
229,15120.0,15180.0,60.0,3,0,0,0.0,0.0,
230,15180.0,15240.0,60.0,3,1,1,0.25,0.25,1.0
231,15240.0,15300.0,60.0,3,1,1,0.25,0.25,1.0
232,15300.0,15360.0,60.0,3,1,1,0.25,0.25,1.0
233,15360.0,15420.0,60.0,3,1,1,0.2,0.2,1.0
234,15420.0,15480.0,60.0,3,1,1,0.2,0.2,1.0
235,15480.0,15540.0,60.0,3,2,2,0.55,0.55,1.0
236,15540.0,15600.0,60.0,3,2,2,0.55,0.55,1.0
237,15600.0,15660.0,60.0,3,1,1,0.35,0.35,1.0
238,15660.0,15780.0,120.0,3,1,1,0.35,0.35,1.0
239,15780.0,15840.0,60.0,3,1,1,0.25,0.25,1.0
240,15840.0,15900.0,60.0,3,1,1,0.25,0.25,1.0
241,15900.0,16020.0,120.0,3,1,1,0.25,0.25,1.0
242,16020.0,16080.0,60.0,3,1,1,0.2,0.2,1.0
243,16080.0,16140.0,60.0,3,2,2,0.55,0.55,1.0
244,16140.0,16200.0,60.0,3,2,2,0.55,0.55,1.0
245,16200.0,16260.0,60.0,3,2,2,0.55,0.55,1.0
246,16260.0,16320.0,60.0,3,1,1,0.35,0.35,1.0
247,16320.0,16380.0,60.0,3,0,0,0.0,0.0,
248,16380.0,16440.0,60.0,3,1,1,0.25,0.25,1.0
249,16440.0,16500.0,60.0,3,1,1,0.25,0.25,1.0
250,16500.0,16560.0,60.0,3,1,1,0.25,0.25,1.0
251,16560.0,16620.0,60.0,3,1,1,0.25,0.25,1.0
252,16620.0,16680.0,60.0,3,1,1,0.2,0.2,1.0
253,16680.0,16740.0,60.0,3,1,1,0.2,0.2,1.0
254,16740.0,16800.0,60.0,3,2,2,0.55,0.55,1.0
255,16800.0,16860.0,60.0,3,2,2,0.55,0.55,1.0
256,16860.0,16920.0,60.0,3,1,1,0.35,0.35,1.0
257,16920.0,17040.0,120.0,3,0,0,0.0,0.0,
258,17040.0,17100.0,60.0,3,1,1,0.25,0.25,1.0
259,17100.0,17160.0,60.0,3,1,1,0.25,0.25,1.0
260,17160.0,17280.0,120.0,3,1,1,0.25,0.25,1.0
261,17280.0,17340.0,60.0,3,1,1,0.2,0.2,1.0
262,17340.0,17400.0,60.0,3,1,1,0.2,0.2,1.0
263,17400.0,17460.0,60.0,3,1,1,0.2,0.2,1.0
264,17460.0,17520.0,60.0,3,0,0,0.0,0.0,
265,17520.0,17580.0,60.0,3,0,0,0.0,0.0,
266,17580.0,17640.0,60.0,3,0,0,0.0,0.0,
267,17640.0,17700.0,60.0,3,1,1,0.25,0.25,1.0
268,17700.0,17760.0,60.0,3,1,1,0.25,0.25,1.0
269,17760.0,17820.0,60.0,3,1,1,0.25,0.25,1.0
270,17820.0,17880.0,60.0,3,1,1,0.25,0.25,1.0
271,17880.0,17940.0,60.0,3,0,0,0.0,0.0,
272,17940.0,18000.0,60.0,3,0,0,0.0,0.0,
273,18000.0,18060.0,60.0,3,0,0,0.0,0.0,
274,18060.0,18120.0,60.0,3,0,0,0.0,0.0,
275,18120.0,18180.0,60.0,3,0,0,0.0,0.0,
276,18180.0,18240.0,60.0,3,0,0,0.0,0.0,
277,18240.0,18300.0,60.0,3,0,0,0.0,0.0,
278,18300.0,18360.0,60.0,3,1,1,0.25,0.25,1.0
279,18360.0,18420.0,60.0,3,1,1,0.25,0.25,1.0
280,18420.0,18521.672,101.67199999999866,3,1,1,0.25,0.25,1.0
281,18521.672,18540.0,18.32800000000134,2,0,0,0.0,0.0,
282,18540.0,18600.0,60.0,2,0,0,0.0,0.0,
