region_id,weight,active_duration_sec,covered_duration_sec,active_duration_h,covered_duration_h,coverage_given_active
z1_A,0.35,7380.0,6480.0,2.05,1.8,0.8780487804878049
z2_A,0.25,6060.0,5139.531999999999,1.6833333333333333,1.4276477777777776,0.8481075907590758
z3_A,0.2,7500.0,6298.109000000002,2.0833333333333335,1.7494747222222229,0.839747866666667
z4_A,0.2,6912.625,6612.625,1.9201736111111112,1.8368402777777777,0.9566011464530478
