rank,gateway_count,window_count,activation_count,mean_completion_ratio,fr,eta_cap,eta_0,hotspot_coverage,hotspot_max_gap,max_cross_gap,cross_active_fraction
1,17,11,22,1.0,1.0,0.0,0.0,0.8788779927011221,385.9449999999997,798.613,0.9684130092592593
2,21,11,22,1.0,1.0,0.005114877604671358,0.005114877604671358,0.8665311043664191,300.0,1432.198,0.9668472685185185
3,16,11,22,1.0,1.0,0.005448662555207617,0.005310426501975291,0.8924544809354465,257.83799999999974,1432.198,0.9668472685185185
4,18,11,22,1.0,1.0,0.005611654873797032,0.005611654873797032,0.8941893828335118,257.83799999999974,1432.198,0.9668472685185185
5,19,11,22,1.0,1.0,0.005656020127025491,0.005656020127025491,0.871149422360971,300.0,1432.198,0.9668472685185185
